id_fecha_sk,fecha,anio,semestre,trimestre,mes_numero,mes_nombre,mes_corto,dia,dia_semana_numero,dia_semana_nombre,anio_mes,es_fin_de_semana
20250306,2025-03-06,2025,1,1,3,March,Mar,6,4,Thursday,2025-03,0
20250307,2025-03-07,2025,1,1,3,March,Mar,7,5,Friday,2025-03,0
20250308,2025-03-08,2025,1,1,3,March,Mar,8,6,Saturday,2025-03,1
20250309,2025-03-09,2025,1,1,3,March,Mar,9,7,Sunday,2025-03,1
20250310,2025-03-10,2025,1,1,3,March,Mar,10,1,Monday,2025-03,0
20250311,2025-03-11,2025,1,1,3,March,Mar,11,2,Tuesday,2025-03,0
20250312,2025-03-12,2025,1,1,3,March,Mar,12,3,Wednesday,2025-03,0
20250313,2025-03-13,2025,1,1,3,March,Mar,13,4,Thursday,2025-03,0
20250314,2025-03-14,2025,1,1,3,March,Mar,14,5,Friday,2025-03,0
20250315,2025-03-15,2025,1,1,3,March,Mar,15,6,Saturday,2025-03,1
20250316,2025-03-16,2025,1,1,3,March,Mar,16,7,Sunday,2025-03,1
20250317,2025-03-17,2025,1,1,3,March,Mar,17,1,Monday,2025-03,0
20250318,2025-03-18,2025,1,1,3,March,Mar,18,2,Tuesday,2025-03,0
20250319,2025-03-19,2025,1,1,3,March,Mar,19,3,Wednesday,2025-03,0
20250320,2025-03-20,2025,1,1,3,March,Mar,20,4,Thursday,2025-03,0
20250321,2025-03-21,2025,1,1,3,March,Mar,21,5,Friday,2025-03,0
20250322,2025-03-22,2025,1,1,3,March,Mar,22,6,Saturday,2025-03,1
20250323,2025-03-23,2025,1,1,3,March,Mar,23,7,Sunday,2025-03,1
20250324,2025-03-24,2025,1,1,3,March,Mar,24,1,Monday,2025-03,0
20250325,2025-03-25,2025,1,1,3,March,Mar,25,2,Tuesday,2025-03,0
20250326,2025-03-26,2025,1,1,3,March,Mar,26,3,Wednesday,2025-03,0
20250327,2025-03-27,2025,1,1,3,March,Mar,27,4,Thursday,2025-03,0
20250328,2025-03-28,2025,1,1,3,March,Mar,28,5,Friday,2025-03,0
20250329,2025-03-29,2025,1,1,3,March,Mar,29,6,Saturday,2025-03,1
20250330,2025-03-30,2025,1,1,3,March,Mar,30,7,Sunday,2025-03,1
20250331,2025-03-31,2025,1,1,3,March,Mar,31,1,Monday,2025-03,0
20250401,2025-04-01,2025,1,2,4,April,Apr,1,2,Tuesday,2025-04,0
20250402,2025-04-02,2025,1,2,4,April,Apr,2,3,Wednesday,2025-04,0
20250403,2025-04-03,2025,1,2,4,April,Apr,3,4,Thursday,2025-04,0
20250404,2025-04-04,2025,1,2,4,April,Apr,4,5,Friday,2025-04,0
20250405,2025-04-05,2025,1,2,4,April,Apr,5,6,Saturday,2025-04,1
20250406,2025-04-06,2025,1,2,4,April,Apr,6,7,Sunday,2025-04,1
20250407,2025-04-07,2025,1,2,4,April,Apr,7,1,Monday,2025-04,0
20250408,2025-04-08,2025,1,2,4,April,Apr,8,2,Tuesday,2025-04,0
20250409,2025-04-09,2025,1,2,4,April,Apr,9,3,Wednesday,2025-04,0
20250410,2025-04-10,2025,1,2,4,April,Apr,10,4,Thursday,2025-04,0
20250411,2025-04-11,2025,1,2,4,April,Apr,11,5,Friday,2025-04,0
20250412,2025-04-12,2025,1,2,4,April,Apr,12,6,Saturday,2025-04,1
20250413,2025-04-13,2025,1,2,4,April,Apr,13,7,Sunday,2025-04,1
20250414,2025-04-14,2025,1,2,4,April,Apr,14,1,Monday,2025-04,0
20250415,2025-04-15,2025,1,2,4,April,Apr,15,2,Tuesday,2025-04,0
20250416,2025-04-16,2025,1,2,4,April,Apr,16,3,Wednesday,2025-04,0
20250417,2025-04-17,2025,1,2,4,April,Apr,17,4,Thursday,2025-04,0
20250418,2025-04-18,2025,1,2,4,April,Apr,18,5,Friday,2025-04,0
20250419,2025-04-19,2025,1,2,4,April,Apr,19,6,Saturday,2025-04,1
20250420,2025-04-20,2025,1,2,4,April,Apr,20,7,Sunday,2025-04,1
20250421,2025-04-21,2025,1,2,4,April,Apr,21,1,Monday,2025-04,0
20250422,2025-04-22,2025,1,2,4,April,Apr,22,2,Tuesday,2025-04,0
20250423,2025-04-23,2025,1,2,4,April,Apr,23,3,Wednesday,2025-04,0
20250424,2025-04-24,2025,1,2,4,April,Apr,24,4,Thursday,2025-04,0
20250425,2025-04-25,2025,1,2,4,April,Apr,25,5,Friday,2025-04,0
20250426,2025-04-26,2025,1,2,4,April,Apr,26,6,Saturday,2025-04,1
20250427,2025-04-27,2025,1,2,4,April,Apr,27,7,Sunday,2025-04,1
20250428,2025-04-28,2025,1,2,4,April,Apr,28,1,Monday,2025-04,0
20250429,2025-04-29,2025,1,2,4,April,Apr,29,2,Tuesday,2025-04,0
20250430,2025-04-30,2025,1,2,4,April,Apr,30,3,Wednesday,2025-04,0
20250501,2025-05-01,2025,1,2,5,May,May,1,4,Thursday,2025-05,0
20250502,2025-05-02,2025,1,2,5,May,May,2,5,Friday,2025-05,0
20250503,2025-05-03,2025,1,2,5,May,May,3,6,Saturday,2025-05,1
20250504,2025-05-04,2025,1,2,5,May,May,4,7,Sunday,2025-05,1
20250505,2025-05-05,2025,1,2,5,May,May,5,1,Monday,2025-05,0
20250506,2025-05-06,2025,1,2,5,May,May,6,2,Tuesday,2025-05,0
20250507,2025-05-07,2025,1,2,5,May,May,7,3,Wednesday,2025-05,0
20250508,2025-05-08,2025,1,2,5,May,May,8,4,Thursday,2025-05,0
20250509,2025-05-09,2025,1,2,5,May,May,9,5,Friday,2025-05,0
20250510,2025-05-10,2025,1,2,5,May,May,10,6,Saturday,2025-05,1
20250511,2025-05-11,2025,1,2,5,May,May,11,7,Sunday,2025-05,1
20250512,2025-05-12,2025,1,2,5,May,May,12,1,Monday,2025-05,0
20250513,2025-05-13,2025,1,2,5,May,May,13,2,Tuesday,2025-05,0
20250514,2025-05-14,2025,1,2,5,May,May,14,3,Wednesday,2025-05,0
20250515,2025-05-15,2025,1,2,5,May,May,15,4,Thursday,2025-05,0
20250516,2025-05-16,2025,1,2,5,May,May,16,5,Friday,2025-05,0
20250517,2025-05-17,2025,1,2,5,May,May,17,6,Saturday,2025-05,1
20250518,2025-05-18,2025,1,2,5,May,May,18,7,Sunday,2025-05,1
20250519,2025-05-19,2025,1,2,5,May,May,19,1,Monday,2025-05,0
20250520,2025-05-20,2025,1,2,5,May,May,20,2,Tuesday,2025-05,0
20250521,2025-05-21,2025,1,2,5,May,May,21,3,Wednesday,2025-05,0
20250522,2025-05-22,2025,1,2,5,May,May,22,4,Thursday,2025-05,0
20250523,2025-05-23,2025,1,2,5,May,May,23,5,Friday,2025-05,0
20250524,2025-05-24,2025,1,2,5,May,May,24,6,Saturday,2025-05,1
20250525,2025-05-25,2025,1,2,5,May,May,25,7,Sunday,2025-05,1
20250526,2025-05-26,2025,1,2,5,May,May,26,1,Monday,2025-05,0
20250527,2025-05-27,2025,1,2,5,May,May,27,2,Tuesday,2025-05,0
20250528,2025-05-28,2025,1,2,5,May,May,28,3,Wednesday,2025-05,0
20250529,2025-05-29,2025,1,2,5,May,May,29,4,Thursday,2025-05,0
20250530,2025-05-30,2025,1,2,5,May,May,30,5,Friday,2025-05,0
20250531,2025-05-31,2025,1,2,5,May,May,31,6,Saturday,2025-05,1
20250601,2025-06-01,2025,1,2,6,June,Jun,1,7,Sunday,2025-06,1
20250602,2025-06-02,2025,1,2,6,June,Jun,2,1,Monday,2025-06,0
20250603,2025-06-03,2025,1,2,6,June,Jun,3,2,Tuesday,2025-06,0
20250604,2025-06-04,2025,1,2,6,June,Jun,4,3,Wednesday,2025-06,0
20250605,2025-06-05,2025,1,2,6,June,Jun,5,4,Thursday,2025-06,0
20250606,2025-06-06,2025,1,2,6,June,Jun,6,5,Friday,2025-06,0
20250607,2025-06-07,2025,1,2,6,June,Jun,7,6,Saturday,2025-06,1
20250608,2025-06-08,2025,1,2,6,June,Jun,8,7,Sunday,2025-06,1
20250609,2025-06-09,2025,1,2,6,June,Jun,9,1,Monday,2025-06,0
20250610,2025-06-10,2025,1,2,6,June,Jun,10,2,Tuesday,2025-06,0
20250611,2025-06-11,2025,1,2,6,June,Jun,11,3,Wednesday,2025-06,0
20250612,2025-06-12,2025,1,2,6,June,Jun,12,4,Thursday,2025-06,0
20250613,2025-06-13,2025,1,2,6,June,Jun,13,5,Friday,2025-06,0
20250614,2025-06-14,2025,1,2,6,June,Jun,14,6,Saturday,2025-06,1
20250615,2025-06-15,2025,1,2,6,June,Jun,15,7,Sunday,2025-06,1
20250616,2025-06-16,2025,1,2,6,June,Jun,16,1,Monday,2025-06,0
20250617,2025-06-17,2025,1,2,6,June,Jun,17,2,Tuesday,2025-06,0
20250618,2025-06-18,2025,1,2,6,June,Jun,18,3,Wednesday,2025-06,0
20250619,2025-06-19,2025,1,2,6,June,Jun,19,4,Thursday,2025-06,0
20250620,2025-06-20,2025,1,2,6,June,Jun,20,5,Friday,2025-06,0
20250621,2025-06-21,2025,1,2,6,June,Jun,21,6,Saturday,2025-06,1
20250622,2025-06-22,2025,1,2,6,June,Jun,22,7,Sunday,2025-06,1
20250623,2025-06-23,2025,1,2,6,June,Jun,23,1,Monday,2025-06,0
20250624,2025-06-24,2025,1,2,6,June,Jun,24,2,Tuesday,2025-06,0
20250625,2025-06-25,2025,1,2,6,June,Jun,25,3,Wednesday,2025-06,0
20250626,2025-06-26,2025,1,2,6,June,Jun,26,4,Thursday,2025-06,0
20250627,2025-06-27,2025,1,2,6,June,Jun,27,5,Friday,2025-06,0
20250628,2025-06-28,2025,1,2,6,June,Jun,28,6,Saturday,2025-06,1
20250629,2025-06-29,2025,1,2,6,June,Jun,29,7,Sunday,2025-06,1
20250630,2025-06-30,2025,1,2,6,June,Jun,30,1,Monday,2025-06,0
